StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,sub_id,time_instructions_3_First Click,time_instructions_3_Last Click,time_instructions_3_Page Submit,time_instructions_3_Click Count,control_outcome,control_overall,outcome_robot,outcome_other,Distracting _1,Distracting _2,influence,robot_control,response_bias_3,synchrony_1,synchrony_2,synchrony_3,synchrony_4,synchrony_5,enjoy_task_1,enjoy_task_2,enjoy_task_3,enjoy_task_4,enjoy_task_5,feedback_3_2,feedback_3_4
2024-10-31 11:29:36,2024-10-31 11:31:16,1,,100,99,1,2024-10-31 11:31:16,R_3Gp3i1xErzkHW5H,,,,,43.064,-89.3965,preview,EN,0,7.313,7.313,7.325,1,4,4,4,4,3,3,4,4,test,4,4,4,4,4,4,4,4,4,4,test,2
2024-11-05 17:32:01,2024-11-05 17:34:36,0,72.33.2.91,100,155,1,2024-11-05 17:34:37,R_5uyY2pb2vv912us,,,,,43.0812,-89.3845,anonymous,EN,23,33.328,33.328,33.332,1,1,1,4,3,3,3,5,5,How well a robotic arm can move and if it does the correct movement,1,1,1,7,7,7,7,7,1,1,"I would do it again, it was really fascinating",1
2024-11-08 17:29:54,2024-11-08 17:37:20,0,72.33.2.91,100,446,1,2024-11-08 17:37:20,R_7psP7V938wvck7l,,,,,43.0782,-89.4075,anonymous,EN,33,36.012,36.012,36.017,1,1,2,7,7,3,1,5,1,"I think this research was about human users' level of trust in the capabilities of robotics arms, as well as how much ""fault"" we may attribute to a robotic arm as compared to outside factors. I think that the research may also try to draw correlations between the level of reliability that humans attribute to robotic arms (e.g., how much trust we had that the robotic arm would do its assigned task in the ball task) as compared to the level of trust/emotion we ourselves hold about robots (e.g., scale of ""Strongly Disagree"" to ""Strongly Agree"" about feeling uncomfortable working with a robotic arm).",6,6,6,5,2,7,6,6,2,1,"I think it was advantageous to mirror the robotic arm's pacing with my own pacing during the ""Go, 3, 2, 1,"" countdown transitioning to the ball and to the box. I will note that I automatically assumed the robotic arm's pacing would be proportional to how much time was remaining (e.g., that it would cross 1/3 the distance to the ball between ""Go"" and ""3""). In addition, the only time I felt out of sync with the robotic arm was at moments of ""Drop,"" in which I felt that I verbally heard and responded faster than the robotic arm's coding.",1
2024-11-12 18:08:33,2024-11-12 18:12:58,0,72.33.2.91,100,264,1,2024-11-12 18:12:58,R_1n8UupED2tcPjbj,,,,,43.0782,-89.4075,anonymous,EN,13,43.199,43.199,43.201,1,7,7,4,2,4,4,4,1,Seeing if robotic arms are capable of doing the same as a real arm,5,3,5,3,3,4,6,4,3,4,I thought it was pretty cool seeing how a robotic arm can do similar things as a real arm,1
2024-11-13 14:10:57,2024-11-13 14:14:54,0,72.33.2.91,100,236,1,2024-11-13 14:14:54,R_5gMytI0KPuc6MrQ,,,,,43.0782,-89.4075,anonymous,EN,25,5.436,5.436,5.441,1,1,1,7,4,4,2,6,6,"How people would feel about the robotic arm before interacting with it and after, as well as how they would interact after certain knowledge was given to them.",6,2,6,2,6,6,6,5,1,1,It was cool to see how it worked and moved and I like that I know more about it now.,1
2024-11-14 09:26:31,2024-11-14 09:30:53,0,72.33.2.91,100,261,1,2024-11-14 09:30:53,R_3BkyZaj1in6Ytuy,,,,,43.0782,-89.4075,anonymous,EN,20,32.265,32.265,32.271,1,1,1,7,7,3,3,7,5,testing how people think about robots in general and what they are capable of.,2,1,2,7,6,7,7,7,1,1,"I thought it was fun and also weird. I wondered what made the robot arm move, was it code or was it making decisions for itself?",1
2024-11-14 17:30:16,2024-11-14 17:34:43,0,72.33.2.91,100,266,1,2024-11-14 17:34:44,R_7NmiuTTFbIWt0wN,,,,,43.0782,-89.4075,anonymous,EN,6,6.977,6.977,6.982,1,3,3,7,5,4,6,7,5,Study of human interaction with robotic arms,5,3,3,5,5,6,6,7,2,1,Completely predictable motion of the robotic arm for fixed and easy tasks,3
2024-11-15 11:09:09,2024-11-15 11:14:32,0,72.33.2.91,100,323,1,2024-11-15 11:14:33,R_5VNEoLJ2GJV9rOk,,,,,43.0782,-89.4075,anonymous,EN,16,24.088,24.088,24.092,1,5,4,4,3,4,6,4,4,About the human's trust about the robotic arm and whether believe there is a potential for the robotic arm to have emotion and more influence on human beings,3,3,3,5,5,5,4,5,2,2,"may have a higher expectation on the task that robotic arm can do ",3
2024-11-15 13:08:18,2024-11-15 13:14:16,0,72.33.2.91,100,357,1,2024-11-15 13:14:17,R_7zGaIxZVENFvYKI,,,,,43.0782,-89.4075,anonymous,EN,10,6.041,6.041,6.047,1,1,2,7,4,4,3,5,6,I think this research might be about levels of trust people have in robotic arms.,3,2,3,5,5,6,5,5,1,2,"I was worried at times about if the robotic arm would be able to move the balls like it was meant to especially if it lagged behind my pace. I think that the more we did the less worried I got/the more I felt I could rely on it to do its job. ",1
2024-11-19 11:56:03,2024-11-19 12:00:43,0,72.33.2.91,100,279,1,2024-11-19 12:00:43,R_6GIIc2MGobvmCTr,,,,,43.0782,-89.4075,anonymous,EN,40,28.231,28.231,28.233,1,2,2,7,4,3,3,1,5,"I think it was about people's ability to work with and gain trust with a robotic arm so much, so they'd be willing to bet on it.",3,3,3,5,5,5,5,6,2,2,"I thought it was interesting as I'd never interacted with a robot arm before I found it a little unnerving but overall, the robot moved well, and I found I trusted what its next movements would be.",1
2024-11-19 18:30:25,2024-11-19 18:33:41,0,72.33.2.91,100,195,1,2024-11-19 18:33:42,R_51bIvad9gVA28iQ,,,,,43.0782,-89.4075,anonymous,EN,11,4.429,4.429,4.435,1,3,3,6,4,4,4,5,5,Understanding how much trust people can put into robotic arms with little to no prior knowledge about them,3,3,4,5,4,6,5,5,2,3,"Not bad, really weird how it can move smoothly to each side with no issues",1
2024-11-20 16:29:18,2024-11-20 16:38:46,0,72.33.2.91,100,567,1,2024-11-20 16:38:47,R_7iQBhWSUbTXaKbO,,,,,43.0782,-89.4075,anonymous,EN,15,5.706,5.706,5.712,1,5,6,4,4,3,6,6,5,"It is about how/ to what degree human can trust the robotic arm after a simple team task with the robotic arm. ",2,2,2,5,6,6,6,6,5,1,"The robotic arm seems out of sync with the almost 80% time. I guess it is because I could hear the voice order in different paces while the robotic arm could not. ",3
2024-11-22 13:05:29,2024-11-22 13:12:33,0,72.33.2.91,100,423,1,2024-11-22 13:12:33,R_7YhvcRCshnX5wlj,,,,,43.0782,-89.4075,anonymous,EN,38,30.597,30.597,30.603,1,5,4,6,3,4,5,5,5,"I think the research was about the relationship between human trust on the robot arm and the effectiveness/results on the task performed by the robot arm. In human beings, trust on oneself or others can promote the confidence and thus increase the effectiveness. So whether we humanize the robot arm in this situation may be important.",5,3,5,5,5,6,5,5,3,2,"I think it is interesting to interact with the robotic arm in this way as teamwork. You feel that the robotic arm is a good partner to study from and collaborate with. I first feared that my ball will go into the robot's box/area, but when our balls are mixed together in the box, I really felt that we are a team to achieve the same goal.",3
2024-11-25 10:58:16,2024-11-25 11:03:06,0,72.33.2.91,100,289,1,2024-11-25 11:03:06,R_61crpzOfONMYezP,,,,,43.0782,-89.4075,anonymous,EN,35,4.75,4.75,4.752,1,2,3,5,4,4,4,5,5,"I thought this research was about elements of teamwork (trust, working towards a mutual goal) as it applies to a robot. Working in coordination is an attribute of some teams depending on the type of task. ",5,5,5,6,6,7,6,7,2,2,"When interacting with the robotic arm, I felt I tried to move in sync with it more than it tried to move in sync with me. That may be a consequence of the fact that I assume the robot had done this more than I had and there was a bit more trust for the robot than I would ascribe to myself. ",1
2024-11-26 12:06:05,2024-11-26 12:11:36,0,72.33.2.91,100,331,1,2024-11-26 12:11:36,R_1IXFe6aOiNOu4kX,,,,,43.0782,-89.4075,anonymous,EN,1,30.245,30.245,30.251,1,1,1,7,1,4,1,6,7,"I think this research is about individuals' perceptions about a robotic arm's skills/competency. I also believe it is about individuals' level of trust regarding robot arms. I believe it may also have to do with perceptions and trust changing based on an in-person activity with a robotic arm and also a computer/digital activity. ",6,6,7,1,2,4,4,5,2,2,"I think social science research with robotics is important as industries move more and more toward using AI and robots. Researchers/we need to know more about how people can be made more comfortable with new advanced technology like robots. ",3
2024-11-26 14:02:48,2024-11-26 14:05:59,0,72.33.2.91,100,191,1,2024-11-26 14:05:59,R_6eVcuNKDywAnDwh,,,,,43.0782,-89.4075,anonymous,EN,32,5.291,5.291,5.297,1,3,3,5,4,4,4,5,4,How people perceive robotic arms,5,4,5,3,3,7,7,5,1,1,Interesting experience. Technology has come a long way.,1
2024-11-26 18:04:39,2024-11-26 18:09:47,0,72.33.2.91,100,307,1,2024-11-26 18:09:47,R_1Mq4mpg8cppvhAt,,,,,43.0812,-89.3845,anonymous,EN,37,6.675,6.675,6.677,1,1,1,1,2,4,2,2,2,"Reliability on robotic arm, test about how much a participant could rely on a robot",3,3,3,3,6,4,4,4,4,4,The robotic arm feels like a distraction for me while im moving the balls. Also it feels difficult to reach far left balls,1
2024-12-02 17:59:57,2024-12-02 18:05:10,0,72.33.2.91,100,313,1,2024-12-02 18:05:11,R_5T6pc5KpVSmATXH,,,,,43.0812,-89.3845,anonymous,EN,36,36.726,36.726,36.731,1,2,2,7,3,6,5,6,5,Reliability and trust on robotic arms on certain tasks performed by them,7,7,6,2,1,6,7,6,1,2,I liked the ball moving task where the robotic arm and I were working synchronously to achieve the same goal however in the computer task the robotic arm performed the tasks alone and therefore it wasn't as pleasant.,1
2024-12-03 17:58:03,2024-12-03 18:00:52,0,72.33.2.91,100,168,1,2024-12-03 18:00:53,R_5EbB6S7jSMOarmz,,,,,43.0812,-89.3845,anonymous,EN,43,7.836,7.836,7.839,1,1,1,7,2,3,3,4,7,Human reliance and trust in robotic technology.,2,2,3,6,6,4,3,4,3,3,It was pretty cool seeing it move!,1
2024-12-06 12:59:46,2024-12-06 13:05:57,0,72.33.2.91,100,371,1,2024-12-06 13:05:58,R_6sU7yehGuLbQbRP,,,,,43.0812,-89.3845,anonymous,EN,39,29.221,29.221,29.226,1,5,4,7,2,4,5,7,7,"If we think we are helping the robot win, we're more likely to put our trust in them, but if the robot starts losing then we will lose trust in them.",6,6,7,1,1,6,6,6,1,1,"I felt like I was going too fast at some points so I started slowing down to stay at the robots pace. I felt, working as a team, I had more control over my pace and so I made more effort to stay at the robots pace than it should have to make to speed up to match me.",3
2024-12-09 16:03:10,2024-12-09 16:09:50,0,72.33.2.91,100,400,1,2024-12-09 16:09:51,R_1cwNUe474PT3HMg,,,,,43.0812,-89.3845,anonymous,EN,18,26.951,26.951,26.957,1,1,2,4,3,4,1,1,2,acceptance of and emotions robotic arms via reliability,2,2,2,7,7,6,6,5,2,2,"I felt so bad when I dropped the ball before the instructions told me to do so as I dropped it when the robotic arm dropped its ball. I carried on with the task but it made me think about if the task was specifically timed for an event to happen, I would have failed as I watched the arm and synched it up with its movement.",3
2024-12-10 12:08:44,2024-12-10 12:13:03,0,72.33.2.91,100,259,1,2024-12-10 12:13:04,R_1IfJTDLAGyen0ht,,,,,43.0812,-89.3845,anonymous,EN,7,38.997,38.997,39.002,1,4,3,7,4,6,6,7,7,"Overall human confidence in the robotic arm itself, as well as the success and failure of the arm on a given task based on the prediction of the outcome by the human involved. ",7,6,6,2,2,6,5,5,2,2,"It helped me to slow/speed up my movements based on where the robotic arm was at in a given step. I also personally felt like it was slowing down and speeding up between steps but I could be completely wrong in that aspect. ",1
2024-12-10 14:10:45,2024-12-10 14:15:23,0,72.33.2.91,100,277,1,2024-12-10 14:15:23,R_7ygh3ItndVzII0E,,,,,43.0812,-89.3845,anonymous,EN,65,5.774,5.774,5.779,1,1,2,5,5,1,5,5,4,Capability to work with robotic arms? Effect of financial incentives on level of trust?,3,3,5,5,5,7,7,7,1,1,It was weird and new but fun. I would be down to more interactions like these.,3
2024-12-10 18:00:29,2024-12-10 18:04:23,0,72.33.2.91,100,233,1,2024-12-10 18:04:23,R_3M6vzYXaBYB6yZa,,,,,43.0812,-89.3845,anonymous,EN,42,5.679,5.679,5.681,1,1,1,7,1,3,1,7,6,"Trust in robotics, importance of robotics and their development, what society thinks of robotic arms/limbs, how humans respond to robotic arms",3,2,5,5,6,7,7,7,1,1,"I caught myself speeding up to move at the same speed at the robotic arm, I found it easy to not look at the task myself since the arm was doing the same thing, I didn't feel connected to the arm such as that I don't think it was following me but only what it was pre-programed to do",1
2024-12-11 16:42:29,2024-12-11 16:51:25,0,72.33.2.91,100,535,1,2024-12-11 16:51:26,R_7suuAInSv755fhL,,,,,43.0812,-89.3845,anonymous,EN,4,13.013,13.013,13.017,1,5,5,4,5,5,5,5,3,Human-Robot Interaction. Maybe involved with some robot learning and psychology. Psychology is also an important part of it.,2,2,2,6,6,5,5,5,3,3,Interesting experience. I would love to do some related research in the future.,1
2024-12-13 13:03:44,2024-12-13 13:08:20,0,72.33.2.91,100,276,1,2024-12-13 13:08:21,R_3P1F2zZTrh8xTW2,,,,,43.0812,-89.3845,anonymous,EN,60,29.999,29.999,30.003,1,2,4,4,3,6,6,5,4,I thought this research was about the compatibility and functionality of robotic arms with individuals.,6,6,6,2,2,7,7,6,1,2,It was a fun experience interacting with the robotic arm. I thought it was a good experience overall.,1
2024-12-16 13:31:24,2024-12-16 13:36:31,0,72.33.2.91,100,306,1,2024-12-16 13:36:31,R_3p3gooq2IPJ0wyc,,,,,43.0812,-89.3845,anonymous,EN,45,25.988,25.988,25.992,1,1,3,4,4,4,3,5,1,"Whether or not people view robots are tools or teammates. ",3,3,3,5,5,7,7,5,1,2,"I thought it was fun to watch as the robot moves the ball to a different rhythm than me and I was wondering the whole time what did its sound cues sound like. Although after a while my arm started to hurt a bit and I was thinking about how robots don't have to worry about that when doing tasks. ",3
2024-12-16 15:56:45,2024-12-16 16:05:00,0,72.33.2.91,100,495,1,2024-12-16 16:05:01,R_1CJtQiJRrPeB8ab,,,,,43.0812,-89.3845,anonymous,EN,46,4.418,4.418,4.422,1,1,1,7,2,6,5,7,7,"I think this research was gauging human trust in the robotic arm's ability to complete a variety of tasks, ranging from easy to hard. As long as programmed appropriately, I feel the robotic arm would succeed in these tasks on a regular basis. ",3,3,3,5,5,4,4,4,2,3,"I felt as if I was turning into a robot because I had to wait for the same commands as the robotic arm. I'm not sure why, but my instinct was to stiffen up and move in a less ""human-like"" way. This changed as the activity with the arm went on and I felt more comfortable, but it was weird at first. ",1
2024-12-16 17:59:46,2024-12-16 18:03:22,0,72.33.2.91,100,215,1,2024-12-16 18:03:22,R_71RDAflUkiVkedh,,,,,43.0812,-89.3845,anonymous,EN,58,7.79,7.79,7.792,1,1,1,7,3,4,3,6,6,How humans interact with and perceive robotic arms,6,6,6,2,6,5,3,5,3,2,,1
2024-12-18 10:27:35,2024-12-18 10:31:55,0,72.33.2.91,100,259,1,2024-12-18 10:31:56,R_72a3ykTYr4enj1J,,,,,43.0782,-89.4075,anonymous,EN,55,26.906,26.906,26.911,1,2,1,3,6,4,3,3,2,"I think it was about our experience with the robotic arm and how much do we trust it to perform well. Since the robot performed really well in the easy task, I assumed it would do well in all other easy tasks and slightly worse in the medium/hard ones. I think the research is more related to our thoughts, trust and experiences as participants rather than just the ability of the arm.",4,3,3,5,5,6,6,6,2,1,I had fun interacting with the robotic arm. It was easy to follow the movements although it made me feel a bit strange when it was moving faster or slower than me. I thought that we would be more in sync.,3
